tg*1/[(tg+tx)^3],tl*1/(tg-tx),tx*1/tg,(tg+tl)*1/[(tl-tx)^4],(tg-tl)*1/(tg-tx),(tg-tx)*1/(tg-tl),(tl+tx)*1/[tl^2],(tl-tx)*[(tl+tx)^3],(tl-tx)*1/(tg-tl),(tl-tx)*1/[(tg-tx)^2],[tg^3]*1/[(tg+tx)^3],[tg^4]*1/[(tg-tl)^4],[tl^2]*1/[(tl+tx)^4],[tl^3]*1/[(tg+tl)^3],[tl^3]*1/[(tg+tx)^3],[tl^4]*[(tg-tx)^2],[tx^3]*[(tl+tx)^4],[tx^4]*1/[(tg-tx)^3],[(tg+tl)^4]*1/[(tg-tl)^4],[(tg-tl)^2]*1/[(tg-tx)^2],[(tg-tl)^2]*1/[(tl-tx)^3],[(tg-tl)^3]*[(tl-tx)^2],[(tg-tl)^3]*1/[tg^2],[(tg-tl)^4]*1/[(tg-tx)^4],[(tg-tl)^4]*1/[(tl+tx)^3],[(tg-tl)^4]*1/[(tl-tx)^2],[(tg+tx)^2]*1/[(tg-tx)^2],[(tg+tx)^2]*1/[(tl-tx)^4],[(tg+tx)^3]*1/[(tg+tl)^2],[(tg+tx)^3]*1/[(tg-tl)^4],[(tg-tx)^2]*1/(tl+tx),[(tg-tx)^2]*1/[tx^3],[(tg-tx)^2]*1/[(tl-tx)^2],[(tg-tx)^3]*1/tx,[(tg-tx)^3]*1/[tg^4],[(tg-tx)^3]*1/[tl^2],[(tg-tx)^4]*1/[(tg-tl)^4],[(tg-tx)^4]*1/[(tl-tx)^4],[(tl+tx)^2]*1/[tx^4],[(tl+tx)^3]*1/[tx^2],[(tl+tx)^4]*1/[tg^3],[(tl+tx)^4]*1/[(tg+tx)^2],[(tl+tx)^4]*1/[(tg-tx)^3],[(tl-tx)^4]*1/[(tg-tx)^2],[(tl-tx)^4]*1/[(tg-tx)^4],1/tl*1/[tg^4],1/(tg-tx)*1/[(tg+tl)^3],1/[tg^3]*1/[(tg-tl)^3],1/[tx^2]*1/[(tg-tx)^3],1/[tx^4]*1/[(tg+tx)^4],composition,dmax
5.803535088214845e-07,1.40625,0.5688622754491018,0.00274688,0.9131944444444444,1.0950570342205324,0.0047858558146623,12093415625.0,0.0950570342205323,0.0003014081790123,0.2589676641203581,41.61815812559978,4.319479522270766e-07,0.0537732027219693,0.0577140061904188,2231542016640000.0,2.0836722928295e+19,872.8847843792867,277.06131675349866,0.8339240933641975,4.426816,11369654375.0,40.76752258955143,0.6954293934932989,9.890403814265666,7654960.897600001,13.241512345679013,2.81165824,999.733865819414,0.2405807386654834,105.66114649681528,0.0015115906108762,132.7104,62862.82105263157,0.0001199697111964,145.63555555555556,1.4379605023261588,17612.05026816,2.9553228182718055e-05,3349.9766274238227,1273.9407787062669,345745.1221383151,15896.48716407221,4.709502797067901,5.677930648471139e-05,1.2400498006977667e-14,2.8106602155465205e-12,1.844180251745635e-16,2.8990475820670364e-13,3.9757629566066505e-23,Ca65 Mg20 Zn15,5.0
2.317429447233026e-07,2.3255813953488373,0.6834910620399579,0.00026416,0.8338870431893688,1.199203187250996,0.0027551020408163,123018750000.0,0.199203187250996,0.0005518702884074,0.2095885509506996,206.075888897184,1.475234315756594e-07,0.0762171842494061,0.0835834174974687,2.17533001e+16,9.1216865390625e+20,6545.667486380447,1871.946390648484,0.6953676007991082,0.504008,39533127500.0,17.48477832288996,0.4835361002411079,1.6132199363918105,1587650.4004000002,28.291089502323373,0.41011216,1505.4968433132133,1.0339013676981026,67.11185185185185,0.0003299080564406,36.2404,41955.23230769231,3.3340907684076775e-05,55.6549,2.068097913478157,1313.36659216,1.020972655019082e-05,5823.372781065088,3861.833300774355,1295843.0688814493,121796.71841425408,68.9837860509266,0.0007614020380672,1.7465454522426554e-15,7.382310108133838e-13,7.352538118555984e-17,8.679082166465435e-14,8.526705154617345e-25,Be20 Cu8 Mg24 Ni8 Ti10 Y4 Zr26,5.0
1.1764763056763659e-07,1.3266871165644172,0.5630026809651475,0.00603392,0.9616564417177914,1.039872408293461,0.0022787263189548,123911940625.0,0.0398724082934609,5.880913846964507e-05,0.2618911550919153,32.06307192289927,8.853901408033474e-08,0.0494276058492273,0.0510343613270586,2.3799049994329e+17,5.00881961479284e+21,1796.281334374878,199.6954486474427,0.924783111897324,25.160256,154057426875.0,110.72991746868014,0.8552238040504984,31.181500721694476,247280657.0256,12.792690729797885,13.92185344,2282.7926902037984,0.0820569697317624,249.32785923753664,0.0007172281611057,680.1664000000001,329961.6761904762,5.593292028533724e-05,370.4337705903973,1.1692845723701968,462626.33168896,5.838907865678396e-06,7024.486429988662,2544.4332600409325,1553962.1668075826,30489.81197204908,0.9188927885882042,2.1615717297136803e-06,2.332967022995154e-16,1.1713148698578202e-13,1.2214927907127414e-18,5.113268998724061e-15,6.791546388370497e-26,B14.81148115 Fe74.81748175 Si7.41074107 Zr2.96029603,2.0
5.721099389237576e-07,1.6550387596899223,0.6036866359447005,0.0008066833490978,0.8682170542635659,1.1517857142857142,0.0044973646540045,18746512000.0,0.1517857142857142,0.0005107866113815,0.2424607642258273,71.33979892730713,4.03274109169176e-07,0.0621480265391548,0.068419851788127,2212844579337924.0,2.744309320812432e+19,1389.028266379061,536.3928375244141,0.7538008533141037,1.2766130673722775,12992774144.0,26.520522603769223,0.5682157264570709,4.566153596146313,2177881.467128028,16.37425635478637,0.8156152344919242,979.183246649984,0.451969806078522,81.17560975609756,0.0010966341368446,57.581314878892734,43698.5038167939,9.56170110321536e-05,94.18969006576025,1.7598949719944978,3315.607823182193,2.818756127238905e-05,3569.9033337865576,1638.7490156516412,414814.9616124249,26326.69194280122,20.07595697373956,0.0003016038244958,1.3039116652715491e-14,3.0940263747583294e-12,3.224875696274021e-16,3.770125275257932e-13,3.5288061676670024e-23,Au52 Cu29.2 Pd2.3 Si16.5,2.0
4.573299099695592e-07,1.4807121661721068,0.5571616294349541,3.982222222222222e-05,0.7774480712166172,1.2862595419847327,0.00370681242244,58974785025.0,0.2862595419847328,0.0006603914800693,0.2648493547914811,71.17598102874364,3.430791197662004e-07,0.0621140720544537,0.0746700747059826,7041448126475569.0,5.532282819764273e+19,844.4495794697601,534.9054406028176,0.6044255034384383,0.1627117037037037,101164095000.0,31.055216440087648,0.3653301892068096,5.992389884086737,837688.6641777778,12.364509681339095,0.0443804444444444,1048.1271258503402,0.3531424175237724,123.0433369447454,0.0014899175367921,20.19004444444445,90265.92688679244,0.0001141171916816,153.70521805133313,2.737249834652757,407.63789466864193,2.635967040737124e-05,4373.945726904592,1646.8454103630763,516856.6440855276,18963.43910878321,278.6026556542718,0.0024531576015838,5.975315308441045e-15,1.4834006459011229e-12,1.261659481262154e-16,1.453378007610009e-13,1.5691453430561606e-23,Cu30.5 Mg58.0 Y11.5,9.0
4.68822702780128e-07,1.3944139301156946,0.5484313570278899,8.590128096830037e-05,0.8200888161738926,1.219380121125757,0.0039200829788738,43849523763.48347,0.2193801211257572,0.0005256257561823,0.2693544328833422,53.16934810217383,3.582445098373597e-07,0.0576825661620578,0.067246640966926,6079333810022467.0,4.567799178560318e+19,744.690010414114,375.0281460960262,0.6725456664134967,0.3374160768576475,83869993051.6634,38.495657778673184,0.4523176734115742,8.718553846220098,1637156.819220126,11.75807866813815,0.0957945209410877,1059.5765922700575,0.260423074459681,131.1962176084571,0.0016308836284969,30.89467831039313,96463.8398372673,0.0001214824617146,176.03462437919245,2.2108355670862254,954.4811479026756,2.6703203549820616e-05,4120.644491602093,1460.1372784626824,461601.8284001525,15857.04864930875,122.74270545566176,0.001047689629279,6.347398690059241e-15,1.550041555726282e-12,1.038244221181464e-16,1.443096525446473e-13,1.7647414466475193e-23,Cu25 Mg65 Y10,4.0
1.1420129254814566e-07,1.4263565891472867,0.5708582834331337,0.0001639784043892,0.903875968992248,1.1063464837049743,0.0021006616257088,348487303024.0,0.1063464837049742,0.0001490295054383,0.257981747677894,44.17348903782021,8.469321674004173e-08,0.054739804198068,0.0591664511588359,2.98037381184e+17,6.3123182990881e+21,2019.621602928044,298.3592024183028,0.8169917673216753,1.4261396059212514,761708923228.0,87.71779439568412,0.6674755478713945,20.55317637615257,30053208.20005203,13.399004867495943,0.3772464973725556,2241.7187945894084,0.1139236109991817,233.98481439820023,0.0006586543519889,108.22710718002082,312746.06643356645,5.258274106884125e-05,317.0322837901701,1.4981822228380337,11713.106728555713,5.833300666167605e-06,7635.204861960106,2943.405416763029,1792813.2464305516,37243.27661307623,35.51790397211706,8.537444618019845e-05,2.1299835546070067e-16,1.0898834126810329e-13,1.4863373592289691e-18,5.062281371114587e-15,5.938365169783292e-26,B6 C15 Cr20 Fe43 Mo10 W4 Y2,8.0
1.683139080800053e-07,1.2618243243243243,0.5371383893666927,0.0001563271604938,0.8986486486486487,1.112781954887218,0.0025698510239082,176928870240.0,0.112781954887218,0.0001712016070124,0.2753347917075039,33.40685935972614,1.3196069625095737e-07,0.0501237415939861,0.0548543742171699,1.0912539298480358e+17,1.3710926934959572e+21,1073.6477741371516,210.3348494203773,0.8075693937180424,1.3102962962962963,542047564800.0,92.04364482856218,0.6521683256701265,27.16433484281316,22250717.937777776,11.028681975894814,0.2982373456790123,1851.278077977409,0.0948645631875996,244.39609483960948,0.0010808693511292,97.35111111111112,302001.0014556041,7.753234904495677e-05,371.8124403011421,1.5333464699814483,9477.2388345679,9.231480452691912e-06,6247.898705211572,2021.086829073871,1094030.8744940695,20381.281396292543,36.97954711468225,0.000105515964877,5.00261660453537e-16,2.031234059862278e-13,3.1743402044632197e-18,1.021224924155302e-14,3.0049620926032086e-25,Cu30 Pd20 Ti40 Zr10,3.0
1.1545416053037425e-07,1.4242424242424243,0.5777777777777778,0.0015846730528946,0.9441786283891548,1.0591216216216215,0.0021957517032437,187899871285.0,0.0591216216216216,8.90293008147453e-05,0.2546024011555945,39.59305267665106,8.48317318845941e-08,0.0529564453503963,0.0553652813068567,2.5000052300027357e+17,5.937538625769366e+21,2198.6015454147832,260.351793780704,0.8914732823068255,8.174087463556852,254156492800.0,94.0832286954846,0.794724613066905,22.878544333006037,100265318.6089796,13.96398891966759,3.658241732611412,2274.537834374675,0.1047200977423275,224.5168475157053,0.000622405208204,320.92163265306124,287286.57692307694,5.068702572131928e-05,309.1004979628792,1.2582975077881646,102990.69430470635,5.657481477706699e-06,7292.624674664884,2870.5507101994867,1712379.4493966736,38136.59913499464,3.817131272432204,9.709615094363946e-06,2.3027284491122265e-16,1.1860333697203246e-13,1.471822774838909e-18,5.510903443358316e-15,6.122963833788901e-26,B16.67 Fe70.83 Hf4.17 Si8.33,1.5
5.367332823490106e-07,1.5412541254125414,0.5652797704447633,4.098845417925709e-05,0.759075907590759,1.317391304347826,0.0039479295150145,46594248813.0,0.3173913043478261,0.0007951290178522,0.2607498591646905,84.33731457541961,3.96845221572363e-07,0.0645790572541274,0.078428948046252,4366694199655089.0,3.3612535297073484e+19,866.2774347101082,655.9950724933087,0.5761962334847347,0.1359837744880044,64837943000.0,25.044822142035247,0.3320020994819948,4.384316416815028,525128.5419403266,12.964752910934658,0.0419138988221136,958.4474166282872,0.4640480026157711,106.63066202090592,0.0015010549517989,17.22818540063802,70604.38324873096,0.000117868233049,127.55401235275508,3.01202914547904,296.81037219875697,3.076248504668542e-05,4111.658255816949,1622.9841237533076,461703.4339294671,19755.349633747806,309.31870513784054,0.0033691544961587,9.073022900391596e-15,2.092658831304944e-12,2.4272703879794227e-16,2.315686004314684e-13,2.92897800473786e-23,Al10 Ce59.4 Cu23.1 Zn7.5,6.0
