features,scores
(tg+tl)*[tg^4],0.0010834238721113903
(tg-tl)*(tl+tx),0.0010636846780867771
[(tg-tx)^2]*1/[(tg+tx)^3],0.001057142593614301
[(tl+tx)^4]*1/[tg^2],0.0010521389482950837
[(tg+tx)^4]*1/[(tg-tl)^3],0.00104607598288356
[tx^3]*1/[tg^4],0.001045833288246198
[(tg+tl)^2]*1/(tg-tx),0.0010266765376040986
[tx^4]*1/[(tg+tx)^2],0.0010216185288243907
1/tl*1/(tg-tl),0.0009972589166473218
[tl^4]*1/(tg+tx),0.0009971305402701048
(tg-tx)*[(tg+tx)^2],0.0009969454502038793
[tg^3]*1/[(tg+tl)^3],0.0009817129342866535
[(tl-tx)^3]*1/[(tg-tx)^4],0.0009724946514124254
1/[tg^4],0.0009470200052621516
[(tl-tx)^4]*1/(tg+tl),0.0009316775322035308
1/(tg+tx)*1/(tl-tx),0.0009276753379681222
1/(tg-tl)*1/(tl-tx),0.0009225212968037985
[tl^2]*[(tg-tl)^2],0.00092029605410913
[(tg+tx)^4]*1/[tx^2],0.0009033629969154891
[(tg-tl)^3]*1/[tx^3],0.0008989514563380056
[(tl-tx)^3]*1/[tg^3],0.0008986341467047776
1/[(tg+tl)^3]*1/[(tg-tx)^2],0.0008967156879349996
[(tg-tl)^4],0.0008889143859087744
[(tl+tx)^2]*1/[tg^4],0.0008814883860951429
[(tl-tx)^4]*1/tx,0.000879141856105255
tg*1/[tx^3],0.0008742632447588081
[(tg+tx)^3]*1/(tl-tx),0.0008726004253927739
[tg^2]*[tl^3],0.000856922568126613
1/(tg+tx)*1/[tl^2],0.0008552350281045254
1/[(tg+tx)^2]*1/[(tl-tx)^3],0.0008550549598878814
[tg^3]*1/[(tg-tl)^3],0.0008542262065964829
[tl^4]*1/[(tg-tx)^2],0.0008529069986725549
(tl-tx)*1/[(tg-tl)^2],0.0008279630792208914
(tg+tx)*1/[tx^2],0.0008271716575875054
(tg+tx)*[(tg-tl)^3],0.0008270863088946752
